,DTime,ElapsedTime,T1,T1_time,HeaterValues
233,1606162831.4809303,317.497145652771,35.73,233.0,20.0
234,1606162832.841322,318.8575372695923,35.73,234.0,20.0
235,1606162834.200279,320.2164943218231,35.73,235.0,20.0
236,1606162835.5691953,321.5854105949402,36.05,236.0,20.0
237,1606162836.9391081,322.9553234577179,36.05,237.0,20.0
238,1606162838.2986445,324.31485986709595,36.05,238.0,20.0
239,1606162839.6681275,325.68434286117554,36.05,239.0,20.0
240,1606162841.0278132,327.0440285205841,36.05,240.0,20.0
241,1606162842.3869202,328.4031355381012,36.05,241.0,20.0
242,1606162843.7459328,329.76214814186096,36.05,242.0,20.0
243,1606162845.1158705,331.1320858001709,36.05,243.0,20.0
244,1606162846.4854872,332.50170254707336,35.09,244.0,20.0
245,1606162847.8338497,333.85006499290466,36.05,245.0,20.0
246,1606162849.1942601,335.2104754447937,36.05,246.0,20.0
247,1606162850.5635867,336.5798020362854,36.05,247.0,20.0
248,1606162851.9328773,337.94909262657166,36.05,248.0,20.0
249,1606162853.2921124,339.3083276748657,36.38,249.0,20.0
250,1606162854.6623034,340.67851877212524,36.38,250.0,20.0
251,1606162856.032109,342.04832434654236,36.05,251.0,20.0
252,1606162857.3910017,343.40721702575684,36.38,252.0,20.0
253,1606162858.7498364,344.7660517692566,36.05,253.0,20.0
254,1606162860.109661,346.1258764266968,36.38,254.0,20.0
255,1606162861.468125,347.48434042930603,36.38,255.0,20.0
256,1606162862.8383176,348.854532957077,36.38,256.0,20.0
257,1606162864.2082174,350.2244327068329,36.38,257.0,20.0
258,1606162865.5776813,351.59389662742615,36.38,258.0,20.0
259,1606162866.9369066,352.9531219005585,36.38,259.0,20.0
260,1606162868.296362,354.31257724761963,36.38,260.0,20.0
261,1606162869.6557274,355.67194271087646,36.38,261.0,20.0
262,1606162871.025295,357.04151034355164,36.38,262.0,20.0
263,1606162872.3949409,358.41115617752075,36.38,263.0,20.0
264,1606162873.7647448,359.7809600830078,36.7,264.0,20.0
265,1606162875.1234348,361.13965010643005,36.7,265.0,20.0
266,1606162876.4822257,362.49844098091125,36.7,266.0,20.0
267,1606162877.8522964,363.86851167678833,36.38,267.0,20.0
268,1606162879.211762,365.2279772758484,36.7,268.0,20.0
269,1606162880.5715673,366.58778262138367,36.7,269.0,20.0
270,1606162881.9411137,367.9573290348053,36.7,270.0,20.0
271,1606162883.3109488,369.3271641731262,36.7,271.0,20.0
272,1606162884.669978,370.68619322776794,36.7,272.0,20.0
273,1606162886.0393538,372.0555691719055,36.38,273.0,20.0
274,1606162887.3988109,373.41502618789673,36.7,274.0,20.0
275,1606162888.7575638,374.77377915382385,36.7,275.0,20.0
276,1606162890.1174865,376.13370180130005,36.7,276.0,20.0
277,1606162891.4770386,377.4932539463043,36.7,277.0,20.0
278,1606162892.8358455,378.8520607948303,36.7,278.0,20.0
279,1606162894.1951582,380.2113735675812,36.7,279.0,20.0
280,1606162895.5440943,381.5603096485138,36.7,280.0,20.0
281,1606162896.9041095,382.9203248023987,36.7,281.0,20.0
282,1606162898.2634377,384.2796530723572,36.7,282.0,20.0
283,1606162899.6331613,385.6493766307831,36.38,283.0,20.0
284,1606162900.992388,387.0086033344269,36.7,284.0,20.0
285,1606162902.36173,388.3779454231262,37.02,285.0,20.0
286,1606162903.7216341,389.73784947395325,37.02,286.0,20.0
287,1606162905.0801537,391.09636902809143,37.02,287.0,20.0
288,1606162906.450514,392.4667294025421,37.02,288.0,20.0
289,1606162907.8093667,393.8255820274353,37.02,289.0,20.0
290,1606162909.168892,395.18510723114014,37.02,290.0,20.0
291,1606162910.5384727,396.55468797683716,37.02,291.0,20.0
